,day,balance_daily,name,balance_cumu
89,2023-07-14,2.234200431905153,Polygon Bridges,4877.213863674336
90,2023-07-14,101.07069824802116,Optimism Bridges,45903.95641978929
91,2023-07-14,12.95670887,Wormhole,115.5537652600402
92,2023-07-14,0.0,xDAI Bridges,1381.1402482023666
93,2023-07-14,0.0,Aztec,470.7776612402466
94,2023-07-14,0.0,Loopring,1405.7612227112045
95,2023-07-14,657.5153342778632,Arbitrum Bridges,71407.27239939937
96,2023-07-13,0.0,Loopring,1405.7612227112045
97,2023-07-13,9.92933614101537,Arbitrum Bridges,70749.7570651215
98,2023-07-13,0.0,Wormhole,102.5970563900402
99,2023-07-13,0.0,zkSynk Bridge,2143.98941432741
100,2023-07-13,-200.00000976588765,Polygon Bridges,4874.97966324243
101,2023-07-13,0.0,Aztec,470.7776612402466
102,2023-07-13,0.0,xDAI Bridges,1381.1402482023666
103,2023-07-13,161.46354811021925,Optimism Bridges,45802.88572154127
104,2023-07-12,62.4802304777007,Polygon Bridges,5074.979673008318
105,2023-07-12,176.7845940089289,Optimism Bridges,45641.422173431056
106,2023-07-12,0.0,Wormhole,102.5970563900402
107,2023-07-12,0.0,xDAI Bridges,1381.1402482023666
108,2023-07-12,0.0,Loopring,1405.7612227112045
109,2023-07-12,677.253824907581,Arbitrum Bridges,70739.8277289805
110,2023-07-12,0.0,Aztec,470.7776612402466
111,2023-07-12,-0.9405784968,zkSynk Bridge,2143.98941432741
112,2023-07-11,-19.33070579449608,Aztec,470.7776612402466
113,2023-07-11,0.0,zkSynk Bridge,2144.92999282421
114,2023-07-11,0.0,xDAI Bridges,1381.1402482023666
115,2023-07-11,-120.11029356808518,Polygon Bridges,5012.499442530618
116,2023-07-11,492.9920009111152,Optimism Bridges,45464.63757942213
117,2023-07-11,0.0,Wormhole,102.5970563900402
118,2023-07-11,-10.078896711855066,Arbitrum Bridges,70062.57390407291
119,2023-07-11,0.0,Loopring,1405.7612227112045
120,2023-07-10,514.5548794732296,Arbitrum Bridges,70072.65280078477
121,2023-07-10,0.0,Loopring,1405.7612227112045
122,2023-07-10,0.0,Polygon Bridges,5132.609736098703
123,2023-07-10,0.0,Aztec,490.1083670347426
124,2023-07-10,0.0,zkSynk Bridge,2144.92999282421
125,2023-07-10,0.0,Wormhole,102.5970563900402
126,2023-07-10,26.46441511470753,Optimism Bridges,44971.64557851101
127,2023-07-10,0.0,xDAI Bridges,1381.1402482023666
128,2023-07-09,0.0,zkSynk Bridge,2144.92999282421
129,2023-07-09,0.0,xDAI Bridges,1381.1402482023666
130,2023-07-09,-118.91951940073454,Polygon Bridges,5132.609736098703
131,2023-07-09,-112.53947507481422,Optimism Bridges,44945.1811633963
132,2023-07-09,314.46829467978665,Arbitrum Bridges,69558.09792131154
133,2023-07-09,-0.6282334,Loopring,1405.7612227112045
134,2023-07-09,0.0,Wormhole,102.5970563900402
135,2023-07-09,0.0,Aztec,490.1083670347426
136,2023-07-08,7.86712839,Wormhole,102.5970563900402
137,2023-07-08,0.0,Aztec,490.1083670347426
138,2023-07-08,0.0,xDAI Bridges,1381.1402482023666
139,2023-07-08,-0.3640882481121576,zkSynk Bridge,2144.92999282421
140,2023-07-08,172.71349355339282,Optimism Bridges,45057.72063847112
141,2023-07-08,-197.0660875121184,Polygon Bridges,5251.529255499438
142,2023-07-08,0.0,Loopring,1406.3894561112045
143,2023-07-08,391.73739641289313,Arbitrum Bridges,69243.62962663175
144,2023-07-07,0.0,Loopring,1406.3894561112045
145,2023-07-07,200.17373466916075,Arbitrum Bridges,68851.89223021886
146,2023-07-07,-0.04682448106,zkSynk Bridge,2145.294081072322
147,2023-07-07,-5.80374383,Wormhole,94.7299280000402
148,2023-07-07,0.0,Aztec,490.1083670347426
149,2023-07-07,145.65122033677653,Polygon Bridges,5448.595343011556
150,2023-07-07,235.39676576614843,Optimism Bridges,44885.00714491773
151,2023-07-07,0.0,xDAI Bridges,1381.1402482023666
152,2023-07-06,-0.83097,Aztec,490.1083670347426
153,2023-07-06,0.0,xDAI Bridges,1381.1402482023666
154,2023-07-06,-2.0649913252,zkSynk Bridge,2145.340905553382
155,2023-07-06,1029.7381038046617,Optimism Bridges,44649.61037915158
156,2023-07-06,0.0,Loopring,1406.3894561112045
157,2023-07-06,212.21127129478967,Arbitrum Bridges,68651.71849554969
158,2023-07-06,-63.69535210522359,Polygon Bridges,5302.94412267478
